open_time,open,high,low,close,volume
2020-10-18 08:00:00,368.02,378.51,367.49,378.01,1639.82664
2020-10-19 08:00:00,378.6,384.28,373.2,378.69,2345.21039
2020-10-20 08:00:00,379.56,380.8,366.14,368.8,3184.71673
2020-10-21 08:00:00,368.98,402.02,368.38,391.39,8057.85376
2020-10-22 08:00:00,391.3,421.0,391.3,414.3,6471.42334
2020-10-23 08:00:00,414.42,419.16,402.0,409.98,3369.61979
2020-10-24 08:00:00,410.0,417.07,407.82,412.62,2520.61707
2020-10-25 08:00:00,412.36,417.67,404.0,406.19,1597.63238
2020-10-26 08:00:00,406.51,411.3,382.5,393.32,5544.61812
2020-10-27 08:00:00,393.02,410.22,390.42,403.88,3476.75483
2020-10-28 08:00:00,403.62,409.37,380.82,388.66,4334.23509
2020-10-29 08:00:00,388.39,394.02,380.8,387.4,2362.12102
2020-10-30 08:00:00,387.4,392.08,374.0,382.78,3998.15705
2020-10-31 08:00:00,382.59,393.94,380.86,387.0,2316.32699
2020-11-01 08:00:00,386.11,397.9,385.16,396.85,1529.03222
2020-11-02 08:00:00,397.23,405.11,378.33,383.72,3878.09055
2020-11-03 08:00:00,383.19,390.21,370.46,387.85,2698.14903
2020-11-04 08:00:00,388.35,408.62,376.97,402.83,5085.97038
2020-11-05 08:00:00,403.0,420.98,396.92,417.31,6281.64311
2020-11-06 08:00:00,417.48,458.71,415.54,456.49,7392.21543
2020-11-07 08:00:00,456.69,468.95,425.0,435.95,9632.10577
2020-11-08 08:00:00,435.81,460.52,432.55,455.19,4045.53256
2020-11-09 08:00:00,454.82,459.0,434.3,444.4,5081.91567
2020-11-10 08:00:00,444.53,455.27,438.89,450.75,4222.67405
2020-11-11 08:00:00,450.98,476.79,450.03,464.42,5569.85909
2020-11-12 08:00:00,463.77,470.21,452.37,463.03,4976.77379
2020-11-13 08:00:00,463.0,478.26,457.62,477.0,5339.24201
2020-11-14 08:00:00,477.08,478.01,452.22,461.33,4921.42753
2020-11-15 08:00:00,461.35,463.06,440.7,448.55,4098.54082
2020-11-16 08:00:00,448.0,466.24,445.94,460.56,3681.00915
2020-11-17 08:00:00,460.56,485.0,460.08,482.65,5921.8576
2020-11-18 08:00:00,482.66,495.0,440.0,479.87,9545.86018
2020-11-19 08:00:00,478.57,480.65,465.55,471.9,3994.65653
2020-11-20 08:00:00,471.58,514.36,471.27,509.87,7835.99365
2020-11-21 08:00:00,510.62,553.7,502.61,552.64,9107.91477
2020-11-22 08:00:00,552.64,581.07,512.01,560.82,11745.77513
2020-11-23 08:00:00,560.89,611.0,550.32,609.47,12506.98974
2020-11-24 08:00:00,609.0,622.22,589.0,605.15,14188.86815
2020-11-25 08:00:00,605.27,606.07,554.35,570.12,8409.53562
2020-11-26 08:00:00,568.92,577.2,475.29,519.68,19807.46657
